name,online_order,book_table,rate,votes,location,rest_type,dish_liked,approx_cost(for two people),listed_in(city)
Navya's,Yes,No,2.9,46,HSR,Quick Bites,,600.0,HSR
Amrutha Mess,No,No,3.4,6,BTM,Quick Bites,,300.0,Jayanagar
Shangai Sun,No,No,3.4,12,BTM,"Takeaway, Delivery",,500.0,Koramangala 5th Block
The Bong Palate,Yes,No,3.8,58,BTM,Quick Bites,"Mutton Kosha, Basanti Pulao, Chicken Biryani",300.0,Bannerghatta Road
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,Casual Dining,"Jalebi, Chaat, Dal Makhani, Tandoori Roti",550.0,Koramangala 4th Block
Sizzles,No,No,3.5,11,Whitefield,Casual Dining,,800.0,Whitefield
Lemon Krust,Yes,No,4.0,39,Whitefield,Bakery,"Cup Cake, Brownie",150.0,Whitefield
Kitchen24,Yes,No,3.4,15,BTM,Takeaway,,300.0,Koramangala 7th Block
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,"Waffles, Pancakes, Oreo Waffle",400.0,Koramangala 4th Block
Barley & Grapes Cafe,No,No,4.2,843,Whitefield,Cafe,"Beer, Burgers, Pizza, Pasta, Mocktails, Salads, Sangria",1000.0,Whitefield
Kuttanadu,Yes,No,2.8,261,HSR,Casual Dining,"Pothichoru, Kerala Parotta, Beef Fry, Vegetable Stew, Chicken Curry, Paratha, Biryani",700.0,HSR
Artinci Artisanal Ice Cream,Yes,No,,0,JP Nagar,Dessert Parlor,,300.0,BTM
Watson's,Yes,No,,0,Indiranagar,Pub,,1300.0,Old Airport Road
Slate Cafe,Yes,No,4.1,53,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza",600.0,JP Nagar
Tandoor Hut,Yes,No,4.1,1004,Koramangala 5th Block,Casual Dining,"Biryani, Tandoori Chicken, Panneer Butter Masala, Naan, Mutton Roganjosh, Lassi, Chicken Tikka Masala",700.0,Koramangala 7th Block
Vyanjan,Yes,No,3.9,203,BTM,Quick Bites,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa",300.0,Jayanagar
Smoke-A-Pot,No,No,3.3,10,Koramangala 5th Block,"Takeaway, Delivery",,600.0,Koramangala 4th Block
Lime Twist,Yes,No,,0,Koramangala 5th Block,Quick Bites,,150.0,Koramangala 6th Block
Hotel Adhvi,No,No,,0,BTM,Quick Bites,,150.0,Jayanagar
Midnight Special,Yes,No,3.7,26,HSR,Delivery,,500.0,Koramangala 6th Block
Vegetarea,Yes,No,3.8,40,BTM,"Takeaway, Delivery",,250.0,Koramangala 4th Block
Once In Nature,Yes,No,3.7,37,JP Nagar,Quick Bites,,300.0,BTM
Creamiester,No,No,,0,Whitefield,Dessert Parlor,,300.0,Whitefield
Namma Kudla,Yes,No,3.9,200,JP Nagar,Quick Bites,"Sea Food, Neer Dosa, Fish, Crab Sukha, Biryani, Chicken Thali, Chicken Meal",400.0,Bannerghatta Road
Peacock,Yes,Yes,3.9,847,Indiranagar,Casual Dining,"Mutton Roganjosh, Mango Mousse, Sev Puri, Kadai Paneer, Butter Chicken, Mocktails, Chicken Biryani",1200.0,Indiranagar
Just Bake,Yes,No,3.8,122,Koramangala 5th Block,Bakery,"Coffee, Cup Cake",400.0,BTM
56 Bhoga Sweets,No,No,3.6,51,HSR,"Takeaway, Delivery","Dahi Vada, Rasgulla, Samosa",150.0,Koramangala 4th Block
Zhang's - Chinese Restaurant,Yes,No,4.1,592,JP Nagar,Casual Dining,"Momos, Chilli Mushroom, Chop Suey, Sweet Corn Soup, Clear Soup, Hakka Noodles, Honey Chilli Potatoes",700.0,Jayanagar
Mizo Kitchen,No,No,3.8,27,Koramangala 5th Block,Quick Bites,,400.0,Koramangala 4th Block
A Hole Lotta Love Cafe,Yes,No,4.3,2871,Koramangala 5th Block,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta",600.0,Koramangala 4th Block
RGS Ambur briyani,No,No,,0,BTM,Quick Bites,,300.0,BTM
Watson's,Yes,Yes,4.0,1014,JP Nagar,"Pub, Bar","Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn",1300.0,BTM
Mishmash,Yes,No,3.9,1245,HSR,"Casual Dining, Bar","Cocktails, Tandoori Chicken, Paneer Tikka, Stuffed Mushroom, Pasta Alfredo, Mocktails, Salads",1400.0,HSR
Bangali Babu Restaurant,No,No,,0,BTM,Sweet Shop,,250.0,Bannerghatta Road
Firangi Bake,Yes,No,3.9,58,Indiranagar,Delivery,Lasagne,600.0,MG Road
Kawaii,Yes,No,3.8,138,HSR,Dessert Parlor,"Mochi Ice Cream, Milk Tea",500.0,Bellandur
Hot Rolls & House Of Kebabs,Yes,No,3.1,55,JP Nagar,Quick Bites,,200.0,JP Nagar
Amjad Bhai's Star Hotel - Home Food Only,No,No,,0,BTM,Quick Bites,,300.0,Jayanagar
Home Treats,No,No,,0,JP Nagar,"Takeaway, Delivery",,250.0,JP Nagar
Momo Jojo,Yes,No,3.4,6,BTM,Quick Bites,,300.0,Koramangala 5th Block
Lime Twist,Yes,No,,0,Koramangala 5th Block,Quick Bites,,150.0,Koramangala 5th Block
Dhe Chef Cafe,No,No,,0,BTM,Quick Bites,,200.0,Bannerghatta Road
Yaduvanshi Hotel,No,No,,0,BTM,Quick Bites,,300.0,Koramangala 6th Block
Sheetals Home Food,No,No,,0,Whitefield,"Takeaway, Delivery",,250.0,Whitefield
Happy Eats,Yes,No,,0,Indiranagar,Delivery,,300.0,Brigade Road
Kulkarni's New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,6,JP Nagar,Quick Bites,,250.0,JP Nagar
Barbeque Nation,No,Yes,4.7,7152,Indiranagar,Casual Dining,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie",1600.0,Indiranagar
New Surya Sweets & Snacks,No,No,3.5,7,BTM,Sweet Shop,,300.0,Koramangala 7th Block
Litti Twist,Yes,No,4.2,465,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",300.0,Koramangala 5th Block
Brewz Coffee,Yes,No,3.0,61,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",650.0,JP Nagar
Dakshin Biryani & Tiffin,Yes,No,3.4,334,Indiranagar,Casual Dining,"Biryani, Multi Grain Dosa, Kheer, Egg Bhurji, Sooji Halwa, Tamarind Chicken, Coffee",550.0,Brigade Road
Bhartiya Jalpan,No,No,4.1,1075,Indiranagar,Casual Dining,"Chaat, Jalebi, Rasgulla, Panipuri, Dhokla, Kullad Chai, Paratha",800.0,Indiranagar
Cream Stone,Yes,No,4.2,734,Indiranagar,Dessert Parlor,"Chocolate Icecreams, Coffee Craze, Chocolava, Ferrero Rocher, Waffles, Nutella Brownie, Tiramisu",300.0,Indiranagar
Popat,Yes,No,3.2,43,Indiranagar,Quick Bites,,300.0,Indiranagar
The Underpass Pub & Grub,No,Yes,4.0,720,JP Nagar,"Pub, Casual Dining","Pasta, Cocktails, Pizza, Paneer Tikka, Mocktails, Fish, Fries",1500.0,JP Nagar
WTF,Yes,No,4.1,93,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",600.0,Koramangala 4th Block
Multi Kitchen,No,No,,0,BTM,Quick Bites,,300.0,BTM
Naati Manae,Yes,No,3.1,10,JP Nagar,Food Court,,500.0,BTM
Mango Greens,No,Yes,3.9,48,JP Nagar,Casual Dining,,900.0,Bannerghatta Road
Sankranthi Veg Restaurant,Yes,No,3.0,102,BTM,Casual Dining,"Tea, Vada Sambar, Masala Dosa",600.0,BTM
Kumbakonam Degree Coffee,Yes,No,3.8,66,Indiranagar,Quick Bites,"Filter Coffee, Mini Idlis",200.0,Brigade Road
Pothichor,No,No,3.5,12,BTM,Quick Bites,,250.0,BTM
1722 Urban Bistro,Yes,Yes,4.1,218,Koramangala 5th Block,Casual Dining,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop",600.0,BTM
Biggies Burger 'n' More,Yes,No,4.3,184,Indiranagar,Quick Bites,"Burgers, Mojito, Sea Food, Hot Dog, French Fries, Crab Burger, Peri Fries",650.0,Indiranagar
Fattoush,Yes,No,4.1,1277,BTM,Casual Dining,"Fattoush, Crispy Chilli Potatoes, Mutton Roganjosh, Butter Chicken Biryani, Crispy Chilli Babycorn, Chicken Grill, Tandoori Chicken",900.0,JP Nagar
Two Friends Cauldron,Yes,Yes,,465,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",700.0,Jayanagar
Cafe of Joy,No,No,3.7,51,Whitefield,Casual Dining,"Breads, Cappuccino, Cheesecake",600.0,Whitefield
HungerLoft,Yes,No,2.5,109,BTM,Casual Dining,,800.0,Koramangala 6th Block
Bruncherz,No,No,3.5,15,BTM,Quick Bites,,200.0,Jayanagar
Vegetarea,Yes,No,3.9,38,BTM,"Takeaway, Delivery",,250.0,BTM
Cafe Mist,Yes,No,3.8,187,JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos",500.0,JP Nagar
Seekers Cafe,No,No,3.6,25,BTM,Casual Dining,,500.0,Koramangala 4th Block
Targaryen's Kitchen,No,No,3.6,25,JP Nagar,Casual Dining,,550.0,JP Nagar
Cup Shup,No,No,2.8,185,Indiranagar,Cafe,"Sandwiches, Coffee, Burgers, Chicken Wrap, Rolls, Ginger Tea, Chicken Sandwich",500.0,Old Airport Road
Shater Grill House,No,No,3.5,8,BTM,Casual Dining,,700.0,Koramangala 4th Block
Hangover,Yes,Yes,4.0,1431,Indiranagar,"Bar, Casual Dining","Cocktails, Blueberry Cheesecake, Margarita, Long Island Iced Tea, Sangria, Bbq Pizza, Beer",1500.0,Old Airport Road
Lassi Shop,Yes,No,,0,JP Nagar,Dessert Parlor,,80.0,Bannerghatta Road
Punjabi Daawat,No,No,2.4,221,BTM,Quick Bites,"Lassi, Soya Chaap, Fish, Masala Papad",550.0,Koramangala 7th Block
Oregano Soul Food,Yes,No,4.1,142,Whitefield,Cafe,"Sandwiches, Club Chicken Sandwich, Pizza, White Sauce Pasta, Coffee, Tomato Basil Pasta, Garlic Bread",700.0,Whitefield
YumYumDilli,Yes,No,3.4,35,Whitefield,Delivery,,500.0,Whitefield
Hungry Nights,No,No,3.0,54,BTM,"Takeaway, Delivery",,300.0,Jayanagar
1722 Urban Bistro,Yes,Yes,4.1,220,Koramangala 5th Block,Casual Dining,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop",600.0,Jayanagar
Mockaholic Restro Beer Cafe,Yes,No,3.9,919,JP Nagar,Bar,"Beer, Momos, Pizza, Coffee, Dragon Chicken, Hot Pot, Mocktails",1000.0,Jayanagar
Mandi,Yes,Yes,3.8,561,JP Nagar,Casual Dining,"Phirni, Chaat, Noodles, Rasgulla, Rabri, Butter Naan, Jalebi",800.0,JP Nagar
Call A Cake,Yes,No,3.6,41,BTM,Delivery,,500.0,BTM
1131 Bar + Kitchen,No,Yes,4.6,2785,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails",1500.0,Indiranagar
The Sandwich Club,Yes,No,3.9,88,HSR,Quick Bites,"Sandwiches, Fries, Sandwich, Pizza, Thick Shakes, Garlic Bread",250.0,HSR
Bangalore Mandarin,Yes,No,4.2,974,Indiranagar,Casual Dining,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles",1100.0,Brigade Road
Singh Saab,Yes,No,3.7,243,Indiranagar,Casual Dining,"Butter Chicken, Chaach, Paratha, Tandoori Chicken, Biryani, Dal Makhani, Kulcha",850.0,Indiranagar
J's Cafe,No,No,3.9,155,Indiranagar,Cafe,"Coffee, Pizza, Pasta, Broccoli Soup, Tea, Hot Chocolate, Stuffed Mushroom",700.0,Old Airport Road
The Chaat Shop,No,No,3.2,9,BTM,Quick Bites,,100.0,Koramangala 7th Block
Bottle Genie,Yes,No,,0,BTM,"Takeaway, Delivery",,350.0,Koramangala 5th Block
Kumbakonam Degree Coffee,Yes,No,3.8,66,Indiranagar,Quick Bites,"Filter Coffee, Mini Idlis",200.0,Church Street
KC Das - Sweet Corner,No,No,2.9,47,HSR,"Sweet Shop, Quick Bites",,200.0,Koramangala 4th Block
Annalakshmi,Yes,No,,0,Whitefield,Casual Dining,,400.0,Brookefield
Biryani Palace,Yes,No,3.9,459,HSR,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita",600.0,BTM
GFC Biryani,Yes,No,,0,BTM,Quick Bites,,300.0,BTM
Northern Tadka,Yes,No,,0,Whitefield,Delivery,,400.0,Brookefield
Malabar Xpress,Yes,No,3.2,4,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 6th Block
House Of Commons,No,Yes,4.7,4442,Koramangala 5th Block,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",1000.0,Koramangala 4th Block
Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,,100.0,BTM
Estaa Sweets,Yes,No,3.3,5,Whitefield,Sweet Shop,,300.0,Brookefield
Himalyan Inn Tibet Kitchen,No,No,3.7,42,Indiranagar,Quick Bites,Veg Momos,400.0,Indiranagar
Zam Zam Darbar,No,No,2.9,84,BTM,Casual Dining,"Shawarma, Biryani Combo, Chicken Grill",500.0,Koramangala 7th Block
Royal Paris,Yes,No,3.8,71,BTM,Casual Dining,"Butter Chicken, Chicken Biryani",1000.0,Koramangala 4th Block
Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,,100.0,Bannerghatta Road
Beach Hut,No,No,3.5,134,JP Nagar,Casual Dining,"Butter Naan, Butter Kulcha, Momos, Noodles, Paneer Tikka, Chop Suey, Tangdi Kabab",650.0,JP Nagar
Me And My Cake,No,No,,0,Whitefield,Bakery,,500.0,Brookefield
Kataria's Home Food,Yes,No,3.1,40,BTM,Quick Bites,"Dal Makhani, Rice, Buttermilk",250.0,Koramangala 5th Block
Chatter Platter,Yes,No,3.5,28,BTM,Quick Bites,,300.0,Bannerghatta Road
99 Variety Dosa and Pav Bhaji,Yes,No,4.0,101,HSR,Quick Bites,,250.0,HSR
Grab n Go - Aloft Hotel,No,No,3.1,7,Whitefield,Casual Dining,,1000.0,Whitefield
Donne Biriyani House,Yes,No,3.8,278,HSR,Quick Bites,"Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab, Chicken Fries",200.0,Koramangala 4th Block
Biryani Paradise,Yes,No,3.8,131,Whitefield,Casual Dining,,700.0,Brookefield
Darjeeling Hot Momos,No,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 6th Block
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Pub, Casual Dining",,900.0,JP Nagar
Andal Mess,Yes,No,3.2,135,Indiranagar,Mess,"Chicken Kothu Paratha, Dindigul Biryani, Chicken Chukka, Plain Dosa, Mutton Biryani",300.0,Old Airport Road
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,,400.0,JP Nagar
Third Wave Coffee Roasters,No,No,,0,Whitefield,Cafe,,800.0,Brookefield
BMR Hyderabad Biryani,Yes,No,3.6,24,BTM,"Takeaway, Delivery",,400.0,Koramangala 7th Block
Bombay Brasserie,Yes,No,4.4,1909,Indiranagar,Casual Dining,"Chips, Cocktails, Biryani, Pinacolada, Almond Soup, Mocktails, Kulcha",1800.0,Old Airport Road
Masale Daan,Yes,No,,0,JP Nagar,"Takeaway, Delivery",,350.0,JP Nagar
La Passion Cafe,Yes,No,,0,BTM,Cafe,,500.0,BTM
Kitchen On Table,Yes,No,4.3,793,HSR,Casual Dining,"Sushi, Mocktails, Noodles, Salad, Fish, Miso Soup, Sashimi",1000.0,Koramangala 5th Block
Abhiruchi,Yes,No,2.9,36,HSR,"Takeaway, Delivery",,400.0,Koramangala 6th Block
FreshPhulka,Yes,No,3.8,24,HSR,Quick Bites,,150.0,Sarjapur Road
The Creek - The Den Bengaluru,No,Yes,4.4,383,Whitefield,Casual Dining,"Chaat, Cocktails, Grilled Eggplant, Salads, Mousse, Sunday Brunch, Iced Tea",2000.0,Whitefield
Kitchen On Table,Yes,No,4.3,791,HSR,Casual Dining,"Sushi, Mocktails, Noodles, Salad, Fish, Miso Soup, Sashimi",1000.0,Koramangala 4th Block
Chung Wah,Yes,No,4.0,314,Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken",800.0,Koramangala 5th Block
Dessi Cuppa,Yes,No,3.7,35,HSR,"Quick Bites, Beverage Shop",,300.0,HSR
Empire Restaurant,Yes,No,4.1,6959,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",750.0,Koramangala 7th Block
Make It Roll,Yes,No,3.8,33,HSR,Quick Bites,,400.0,BTM
Shaadab,Yes,No,,0,Whitefield,"Takeaway, Delivery",,700.0,Marathahalli
Juice Buzz,No,No,3.1,10,JP Nagar,Beverage Shop,,200.0,Jayanagar
Bun Town,Yes,No,4.0,204,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut",500.0,JP Nagar
Sri Dalma,Yes,No,3.8,78,HSR,Quick Bites,"Thali, Mutton Handi",350.0,Koramangala 6th Block
Danny Lambas Punjabi Dhaba,Yes,No,3.5,98,Indiranagar,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken",600.0,Indiranagar
MK RESTAURANT,No,No,,0,BTM,Quick Bites,,400.0,Koramangala 5th Block
SNACKOMATE,Yes,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 7th Block
Sri Devi Baker's,No,No,3.9,41,BTM,"Bakery, Quick Bites","Ginger Tea, Chai, Coffee",200.0,BTM
Nandanam Family Restaurant,Yes,No,3.6,18,BTM,Quick Bites,,350.0,Jayanagar
Cafe Longing,No,No,,0,BTM,Cafe,,200.0,Koramangala 5th Block
Kesariya,No,Yes,4.2,1214,JP Nagar,Casual Dining,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",1200.0,BTM
Borah's Kitchen,Yes,No,3.3,12,BTM,Quick Bites,,250.0,BTM
Ambur Biriyani Point,No,No,3.6,26,BTM,Quick Bites,,150.0,Koramangala 4th Block
Anika's India Kitchen,Yes,No,3.3,6,HSR,Delivery,,250.0,Koramangala 6th Block
Litti Twist,Yes,No,4.2,465,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",300.0,BTM
Pizza Hut,Yes,No,3.1,10,Indiranagar,Casual Dining,,750.0,Indiranagar
Polamma's Mess,Yes,No,4.2,185,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken",300.0,Koramangala 6th Block
Shater Grill House,No,No,3.5,8,BTM,Casual Dining,,700.0,Koramangala 7th Block
Tandooriwala,Yes,No,2.7,24,Whitefield,"Food Court, Quick Bites",,700.0,Whitefield
Hotel Godavari,Yes,No,3.9,226,BTM,Casual Dining,,500.0,Koramangala 5th Block
Nanda's,Yes,No,2.9,361,HSR,Casual Dining,"Butter Chicken, Andhra Meal, Murgh Ghee Roast, Vegetable Biryani, Butter Naan, Roti, Hyderabadi Chicken Biryani",450.0,Bellandur
Dr. Sheesha,No,Yes,4.1,1445,JP Nagar,Cafe,"Mocktails, Pizza, Pasta Alfredo, Burgers, Nachos, Exotic Garlic Bread, Milk Shake",800.0,JP Nagar
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto",500.0,Jayanagar
Parika Multicuisine & Coastal Fine Dine,Yes,Yes,3.9,601,HSR,Casual Dining,"Sea Food, Fish, Prawn Curry, Crab Masala, Prawn Gassi, Naan, Neer Dosa",1000.0,HSR
M Cafe - Bengaluru Marriott Hotel Whitefield,No,Yes,4.1,833,Whitefield,Fine Dining,"Rasmalai, Salads, Pasta, Pizza, Mutton Biryani, Cocktails, Coffee",2500.0,Whitefield
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,"Beverage Shop, Quick Bites","Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich",350.0,Koramangala 5th Block
1441 Pizzeria,Yes,No,4.1,129,JP Nagar,Casual Dining,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza",800.0,BTM
Rimo,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,,500.0,Koramangala 4th Block
BongHomie,No,No,3.4,10,BTM,"Takeaway, Delivery",,300.0,BTM
Mangalore Lunch Home,Yes,No,3.5,11,Whitefield,Quick Bites,,300.0,Whitefield
Troll,Yes,No,3.8,102,Indiranagar,Dessert Parlor,"Ice Cream Roll, Oreo Ice Cream, Rolls, Chocolate Peanut Butter, Nutella Cookie",300.0,Brigade Road
Village Donne Biryani,Yes,No,3.3,50,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 7th Block
Roundup Cafe,Yes,Yes,4.2,515,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Nachos, Hot Chocolate",800.0,Koramangala 7th Block
Just Dosa,No,No,3.7,34,HSR,Quick Bites,,200.0,HSR
Indian Tadka,Yes,No,3.7,215,Whitefield,Food Court,"Rice, Paratha, Chicken Tikka Biryani, Tandoori Chicken, Lassi, Dal Makhani, Punjabi Veg Thali",700.0,Whitefield
Zee5 Loft,Yes,No,4.4,798,HSR,Cafe,"Pizza, Pasta, Lemonade, Brownie, Chocolate Shake, Peri Peri Fries, Chicken Wings",700.0,Koramangala 4th Block
Goodness! Beverages,Yes,No,,0,Whitefield,"Takeaway, Delivery",,250.0,Brookefield
Prawn Crunch,Yes,No,3.3,8,BTM,Quick Bites,,400.0,Koramangala 6th Block
Spice of India & Chai Tales,No,No,,0,HSR,Quick Bites,,400.0,HSR
ChopServe,No,No,3.5,5,HSR,Quick Bites,,300.0,HSR
The Munch Box,No,No,,0,HSR,Quick Bites,,300.0,Koramangala 4th Block
Ruh's Cafe,Yes,No,4.1,464,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500.0,BTM
Sri venkateshwara Cake House,No,No,,0,BTM,Bakery,,500.0,BTM
Chai Mane,No,No,3.0,8,Koramangala 5th Block,Quick Bites,,150.0,Koramangala 5th Block
Dash In,No,No,3.1,53,BTM,Casual Dining,"Butter Chicken, Noodles",600.0,Koramangala 6th Block
Bangalore Mandarin,Yes,No,4.2,974,Indiranagar,Casual Dining,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles",1100.0,Church Street
King Of Spices,Yes,No,3.7,30,Whitefield,Casual Dining,,500.0,Whitefield
Foodies Delight,Yes,No,3.8,184,Whitefield,Quick Bites,"Sandwich, Poha, Gujarati Food, Dabeli, Pav Bhaji, Tea, Thali",400.0,Whitefield
Borah's Kitchen,Yes,No,3.3,12,BTM,Quick Bites,,250.0,Koramangala 7th Block
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,Quick Bites,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",300.0,Koramangala 7th Block
Empire Restaurant,Yes,No,4.1,6875,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",750.0,BTM
RJ Tiffin Service,No,No,,0,HSR,"Takeaway, Delivery",,150.0,HSR
Art of Delight,No,No,4.3,450,Koramangala 5th Block,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Nutella Cheesecake, Nutella Waffle",400.0,Koramangala 4th Block
Sri Rajarajeswari Andhra Mess,No,No,,0,Whitefield,Mess,,200.0,Whitefield
The Buffet Table,No,Yes,,0,HSR,Casual Dining,"Gajar Ka Halwa, Gulab Jamun, Vanilla Ice Cream, Fish, Salad, Chicken Biryani, Tomato Soup",1200.0,HSR
Panther Cafe,Yes,No,3.5,8,BTM,Beverage Shop,,200.0,Koramangala 7th Block
The Yogisthaan Cafe,Yes,No,4.2,1216,Indiranagar,Cafe,"Salads, Sandwich, Pasta, Tea, Hot Chocolate, Paella, Banana Smoothie",600.0,Old Airport Road
Awesome Foods,Yes,No,3.7,27,BTM,Quick Bites,,300.0,Koramangala 5th Block
Petoo,Yes,No,4.0,143,Whitefield,Casual Dining,"Biryani, Gulab Jamun, Pav Bhaji",800.0,Whitefield
Star Bowl,Yes,No,,0,HSR,"Takeaway, Delivery",,650.0,Koramangala 4th Block
New Grand Restaurant,Yes,No,3.1,11,BTM,Casual Dining,,500.0,Koramangala 7th Block
Juice Junction,Yes,No,3.7,17,HSR,Beverage Shop,,200.0,HSR
Tilt Gastro Lounge,No,Yes,4.1,1237,Koramangala 5th Block,"Lounge, Casual Dining","Cocktails, Burgers, Pasta, Exotic Pizza, Long Island Iced Tea, Honey Chilli Potatoes, Nachos",1500.0,Koramangala 5th Block
Hungry Nights,No,No,3.0,54,BTM,"Takeaway, Delivery",,300.0,Koramangala 5th Block
SLV Restaurant,No,No,4.2,378,JP Nagar,Quick Bites,"Masala Dosa, Handi Biryani, Maddur Vada, Filter Coffee, Goli Bajji, Kesari Bath, Rava Idli",300.0,JP Nagar
Habitts,Yes,No,3.7,61,BTM,Quick Bites,Nutella Waffle,350.0,Koramangala 6th Block
Tandoori Paradise,Yes,No,3.5,8,BTM,Delivery,,600.0,Koramangala 7th Block
CakeWalk,No,No,4.1,540,Indiranagar,Dessert Parlor,"Rainbow Pastry, Cheesecake, Brownie, Fruit Cake, Rainbow Cake, Pie, Sandwiches",500.0,Indiranagar
Clean Bowled,Yes,No,3.3,4,Indiranagar,"Takeaway, Delivery",,300.0,Koramangala 6th Block
Dairy Day Corner,No,No,,0,JP Nagar,"Dessert Parlor, Quick Bites",,200.0,JP Nagar
Kakatiya's,Yes,No,3.1,6,HSR,Quick Bites,,250.0,Koramangala 6th Block
Momoz,No,No,3.9,626,Koramangala 5th Block,Casual Dining,"Noodles, Thukpa, Chop Suey, Chicken Momo, Cheese Momos, Sweet Corn Soup, Prawn",600.0,Koramangala 6th Block
Shree Thali,No,No,4.1,183,Koramangala 5th Block,Mess,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",150.0,Koramangala 6th Block
Sultans of Spice,Yes,Yes,4.5,3473,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh",1300.0,Koramangala 7th Block
Ambur Biryani,No,No,3.2,5,HSR,Quick Bites,,450.0,HSR
